"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordId","ProductName","RateId","SubscriptionId","PricingPlanId","UsageType","Operation","AvailabilityZone","ReservedInstance","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","Rate","Cost","ResourceId"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206484","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000063","0.0100000000","0.00000001","i-fe13aec2"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835515","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00004089","0.0100000000","0.00000041","i-22da6e1f"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835516","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00062563","0.0100000000","0.00000626","i-3edc5d03"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835517","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00029863","0.0100000000","0.00000299","i-4513da78"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835518","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00003905","0.0100000000","0.00000039","i-59c70864"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835519","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000155","0.0100000000","0.00000002","i-b6ef318b"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835520","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00444798","0.0100000000","0.00004448","i-cc46e1f1"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396898554591956353835521","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-Out",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000063","0.0100000000","0.00000001","i-fe13aec2"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245144","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","PublicIP-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000018","0.0100000000","0.00000000","i-22da6e1f"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245145","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","PublicIP-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000018","0.0100000000","0.00000000","i-3507ce08"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245146","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","PublicIP-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000018","0.0100000000","0.00000000","i-3edc5d03"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245147","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","PublicIP-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000018","0.0100000000","0.00000000","i-4513da78"
